school,test_optional,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
Drexel University,True,31824,0.747,1190.0,1390.0,25.0,31.0
University of Redlands,True,4713,0.75,1100.0,1250.0,23.0,28.0
Loyola University New Orleans,True,5857,0.75,1050.0,1260.0,22.0,28.0
California State University--Monterey Bay,True,12327,0.753,960.0,1170.0,17.0,23.0
Whittier College,True,6220,0.759,1030.0,1213.0,20.0,25.0
Kalamazoo College,True,3576,0.76,1170.0,1370.0,25.0,31.0
Towson University,True,12678,0.763,1060.0,1220.0,20.0,25.0
Centre College,True,2212,0.764,1130.0,1380.0,26.0,32.0
University of Texas San Antonio,True,17122,0.7659999999999999,1030.0,1220.0,19.0,25.0
Ball State,True,23305,0.767,,,,
James Madison University,True,23578,0.768,1120.0,1290.0,23.0,28.0
Appalachian State University,True,16664,0.768,1100.0,1270.0,22.0,28.0
Indiana University—​Bloomington,True,44169,0.769,1150.0,1360.0,24.0,31.0
High Point University,True,10098,0.769,1090.0,1250.0,22.0,27.0
Virginia Commonwealth University,True,18622,0.7709999999999999,1070.0,1260.0,21.0,28.0
University of Arkansas—​Fayetteville,True,17913,0.7709999999999999,1120.0,1300.0,23.0,30.0
John Brown University,True,1094,0.7709999999999999,1060.0,1365.0,23.0,30.0
University of Idaho,True,8071,0.778,1010.0,1240.0,20.0,27.0
University of Missouri,True,18948,0.778,1090.0,1290.0,23.0,29.0
Willamette University,True,3972,0.779,1140.0,1340.0,31.0,35.0
University of Nebraska—​Lincoln,True,16829,0.782,1120.0,1360.0,22.0,28.0
Carroll College,True,2709,0.7829999999999999,1070.0,1270.0,22.0,28.0
College of Charleston,True,11783,0.7829999999999999,1080.0,1260.0,22.0,28.0
University of Colorado—​Boulder,True,40740,0.784,1140.0,1350.0,25.0,31.0
Elon University,True,10500,0.784,1160.0,1320.0,25.0,30.0
Seattle University,True,7968,0.785,1160.0,1330.0,24.0,30.0
University of Texas—​Dallas,True,14327,0.7859999999999999,1240.0,1460.0,26.0,33.0
East Carolina,True,19234,0.787,1030.0,1190.0,19.0,24.0
University of Tennessee,True,21764,0.7879999999999999,1150.0,1330.0,24.0,30.0
University of Texas Arlington,True,12335,0.795,1060.0,1260.0,20.0,26.0
Pacific Lutheran University,True,3740,0.7979999999999999,1070.0,1270.0,20.0,28.0
Western Michigan,True,17698,0.799,1000.0,1210.0,19.0,26.0
Loyola University Maryland,True,10077,0.802,1143.0,1320.0,25.0,30.0
Miami University—​Oxford,True,28920,0.804,1210.0,1410.0,26.0,31.0
Goucher College,True,3154,0.804,1040.0,1290.0,22.0,29.0
University of Oklahoma,True,15673,0.804,1130.0,1310.0,23.0,29.0
Auburn University,True,20205,0.807,1150.0,1320.0,25.0,31.0
University of Nevada—​Las Vegas,True,12720,0.807,1030.0,1250.0,19.0,25.0
Boise State,True,10788,0.8079999999999999,960.0,1180.0,21.0,26.0
St. Mary's College of California,True,6069,0.81,1070.0,1240.0,22.0,28.0
Siena College,True,7728,0.8109999999999999,1070.0,1280.0,22.0,28.0
University of North Dakota,True,4964,0.8109999999999999,1010.0,1250.0,20.0,26.0
Texas State University,True,23583,0.8109999999999999,1010.0,1180.0,19.3,325.3
Colorado State University,True,28319,0.8140000000000001,1070.0,1290.0,23.0,29.0
University of Memphis,True,15381,0.8140000000000001,1010.0,1230.0,19.0,26.0
West Virginia University,True,18639,0.816,1050.0,1240.0,21.0,27.0
University of Oregon,True,27358,0.816,1100.0,1310.0,22.0,28.0
University of St. Thomas (MN),True,6819,0.8190000000000001,1130.0,1380.0,24.0,29.0
St. Mary's College (IN),True,1862,0.8190000000000001,1050.0,1260.0,22.0,28.0
Illinois State,True,16151,0.8190000000000001,1020.0,1220.0,20.0,26.0
Ohio University,True,24179,0.821,1050.0,1260.0,21.0,26.0
California State University--Sacramento,True,27576,0.823,940.0,1140.0,16.0,22.0
University of North Carolina—​Greensboro,True,9972,0.8240000000000001,1000.0,1160.0,19.0,24.0
University of Iowa,True,25928,0.826,1130.0,1340.0,22.0,29.0
St. Michael's College,True,4040,0.826,1140.0,1320.0,25.0,29.0
University of Alaska Anchorage,True,3673,0.83,1020.0,1220.0,17.0,24.0
Marquette University,True,15078,0.83,1120.0,1320.0,24.0,29.0
College of St. Benedict,True,1931,0.8340000000000001,990.0,1210.0,22.0,27.0
Oregon State University,True,15786,0.836,1080.0,1320.0,21.0,28.0
The Catholic University of America,True,6096,0.8370000000000001,1140.0,1320.0,24.0,30.0
University of Puget Sound,True,5182,0.838,1150.0,1370.0,25.0,30.0
University of New Hampshire,True,18040,0.84,1070.0,1270.0,22.0,28.0
Missouri University of Science & Technology,True,4333,0.8420000000000001,1180.0,1380.0,25.0,31.0
St. Mary's College of Maryland,True,1621,0.843,1060.0,1290.0,21.0,29.0
